site,role,R2,RMSE
Murrumbidgee,reference,0.8049784336447658,0.10707777572471316
Rio_Sinu,transfer,0.8026744174617477,0.10647090152614364
Magdalena_Medio,transfer,0.8028976149042688,0.1068596805343313
Myanmar,transfer,0.8084136491540111,0.10736929871963602
